timecode,seconds,lat,lat_dir,lon,lon_dir,sensor,trigger_num,trigger_time_small,matched_time_large,match_time_diff,relative_row,relative_time
260330_201657_900,73017.898,4159.9844,N,8739.4414,W,206,2,73140,73020.703,119.29700000000594,-28,-2.804999999993015
260330_201658_000,73018.0,4159.9844,N,8739.4414,W,208,2,73140,73020.703,119.29700000000594,-27,-2.702999999994063
260330_201658_100,73018.102,4159.9844,N,8739.4414,W,209,2,73140,73020.703,119.29700000000594,-26,-2.6009999999951106
260330_201658_200,73018.203,4159.9844,N,8739.4414,W,210,2,73140,73020.703,119.29700000000594,-25,-2.5
260330_201658_300,73018.297,4159.9844,N,8739.4414,W,209,2,73140,73020.703,119.29700000000594,-24,-2.4059999999881256
260330_201658_400,73018.398,4159.9844,N,8739.4414,W,205,2,73140,73020.703,119.29700000000594,-23,-2.304999999993015
260330_201658_500,73018.5,4159.9844,N,8739.4414,W,223,2,73140,73020.703,119.29700000000594,-22,-2.202999999994063
260330_201658_600,73018.602,4159.9844,N,8739.4414,W,221,2,73140,73020.703,119.29700000000594,-21,-2.1009999999951106
260330_201658_700,73018.703,4159.9844,N,8739.4414,W,230,2,73140,73020.703,119.29700000000594,-20,-2.0
260330_201658_800,73018.797,4159.9844,N,8739.4414,W,232,2,73140,73020.703,119.29700000000594,-19,-1.9059999999881256
260330_201658_900,73018.898,4159.9844,N,8739.4414,W,234,2,73140,73020.703,119.29700000000594,-18,-1.804999999993015
260330_201659_000,73019.0,4159.9844,N,8739.4414,W,239,2,73140,73020.703,119.29700000000594,-17,-1.7029999999940628
260330_201659_100,73019.102,4159.9844,N,8739.4414,W,247,2,73140,73020.703,119.29700000000594,-16,-1.6009999999951106
260330_201659_200,73019.203,4159.9844,N,8739.4414,W,255,2,73140,73020.703,119.29700000000594,-15,-1.5
260330_201659_300,73019.297,4159.9844,N,8739.4414,W,263,2,73140,73020.703,119.29700000000594,-14,-1.4059999999881256
260330_201659_400,73019.398,4159.9844,N,8739.4414,W,269,2,73140,73020.703,119.29700000000594,-13,-1.304999999993015
260330_201659_500,73019.5,4159.9844,N,8739.4414,W,278,2,73140,73020.703,119.29700000000594,-12,-1.2029999999940628
260330_201659_600,73019.602,4159.9844,N,8739.4414,W,285,2,73140,73020.703,119.29700000000594,-11,-1.1009999999951106
260330_201659_700,73019.703,4159.9844,N,8739.4414,W,294,2,73140,73020.703,119.29700000000594,-10,-1.0
260330_201659_800,73019.797,4159.9844,N,8739.4414,W,303,2,73140,73020.703,119.29700000000594,-9,-0.9059999999881256
260330_201659_900,73019.898,4159.9844,N,8739.4414,W,312,2,73140,73020.703,119.29700000000594,-8,-0.8049999999930151
260330_201700_000,73020.0,4159.9844,N,8739.4414,W,322,2,73140,73020.703,119.29700000000594,-7,-0.7029999999940628
260330_201700_100,73020.102,4159.9844,N,8739.4414,W,331,2,73140,73020.703,119.29700000000594,-6,-0.6009999999951106
260330_201700_200,73020.203,4159.9844,N,8739.4414,W,343,2,73140,73020.703,119.29700000000594,-5,-0.5
260330_201700_300,73020.297,4159.9844,N,8739.4414,W,347,2,73140,73020.703,119.29700000000594,-4,-0.40599999998812564
260330_201700_400,73020.398,4159.9844,N,8739.4414,W,347,2,73140,73020.703,119.29700000000594,-3,-0.3049999999930151
260330_201700_500,73020.5,4159.9844,N,8739.4414,W,346,2,73140,73020.703,119.29700000000594,-2,-0.20299999999406282
260330_201700_600,73020.602,4159.9844,N,8739.4414,W,347,2,73140,73020.703,119.29700000000594,-1,-0.10099999999511056
260330_201700_700,73020.703,4159.9844,N,8739.4414,W,349,2,73140,73020.703,119.29700000000594,0,0.0
260330_201655_700,73015.703,4159.9844,N,8739.4414,W,212,3,73340,73020.703,319.29700000000594,-50,-5.0
260330_201655_800,73015.797,4159.9844,N,8739.4414,W,210,3,73340,73020.703,319.29700000000594,-49,-4.905999999988126
260330_201655_900,73015.898,4159.9844,N,8739.4414,W,209,3,73340,73020.703,319.29700000000594,-48,-4.804999999993015
260330_201656_000,73016.0,4159.9844,N,8739.4414,W,209,3,73340,73020.703,319.29700000000594,-47,-4.702999999994063
260330_201656_100,73016.102,4159.9844,N,8739.4414,W,211,3,73340,73020.703,319.29700000000594,-46,-4.600999999995111
260330_201656_200,73016.203,4159.9844,N,8739.4414,W,214,3,73340,73020.703,319.29700000000594,-45,-4.5
260330_201656_300,73016.297,4159.9844,N,8739.4414,W,218,3,73340,73020.703,319.29700000000594,-44,-4.405999999988126
260330_201656_400,73016.398,4159.9844,N,8739.4414,W,222,3,73340,73020.703,319.29700000000594,-43,-4.304999999993015
260330_201656_500,73016.5,4159.9844,N,8739.4414,W,224,3,73340,73020.703,319.29700000000594,-42,-4.202999999994063
260330_201656_600,73016.602,4159.9844,N,8739.4414,W,224,3,73340,73020.703,319.29700000000594,-41,-4.100999999995111
260330_201656_700,73016.703,4159.9844,N,8739.4414,W,223,3,73340,73020.703,319.29700000000594,-40,-4.0
260330_201656_800,73016.797,4159.9844,N,8739.4414,W,223,3,73340,73020.703,319.29700000000594,-39,-3.9059999999881256
260330_201656_900,73016.898,4159.9844,N,8739.4414,W,223,3,73340,73020.703,319.29700000000594,-38,-3.804999999993015
260330_201657_000,73017.0,4159.9844,N,8739.4414,W,222,3,73340,73020.703,319.29700000000594,-37,-3.702999999994063
260330_201657_100,73017.102,4159.9844,N,8739.4414,W,222,3,73340,73020.703,319.29700000000594,-36,-3.6009999999951106
260330_201657_200,73017.203,4159.9844,N,8739.4414,W,221,3,73340,73020.703,319.29700000000594,-35,-3.5
