timecode,lat,lat_dir,lon,lon_dir,sensor
260324_015350_600,4159.9351,N,8739.6172,W,209
260324_015350_700,4159.9351,N,8739.6172,W,209
260324_015350_800,4159.9351,N,8739.6172,W,209
260324_015350_900,4159.9351,N,8739.6172,W,209
260324_015351_000,4159.9360,N,8739.6162,W,209
260324_015351_100,4159.9360,N,8739.6162,W,209
260324_015351_200,4159.9360,N,8739.6162,W,208
260324_015351_300,4159.9360,N,8739.6162,W,208
260324_015351_400,4159.9360,N,8739.6162,W,208
260324_015351_500,4159.9360,N,8739.6162,W,208
260324_015351_600,4159.9360,N,8739.6162,W,209
260324_015351_700,4159.9360,N,8739.6162,W,209
260324_015351_800,4159.9360,N,8739.6162,W,209
260324_015351_900,4159.9360,N,8739.6162,W,209
260324_015352_000,4159.9370,N,8739.6152,W,209
260324_015352_100,4159.9370,N,8739.6152,W,209
260324_015352_200,4159.9370,N,8739.6152,W,209
260324_015352_300,4159.9370,N,8739.6152,W,209
260324_015352_400,4159.9370,N,8739.6152,W,209
260324_015352_500,4159.9370,N,8739.6152,W,209
260324_015352_600,4159.9370,N,8739.6152,W,209
260324_015352_700,4159.9370,N,8739.6152,W,209
260324_015352_800,4159.9370,N,8739.6152,W,209
260324_015352_900,4159.9370,N,8739.6152,W,209
260324_015353_000,4159.9370,N,8739.6152,W,209
260324_015353_100,4159.9370,N,8739.6152,W,209
260324_015353_200,4159.9370,N,8739.6152,W,209
260324_015353_300,4159.9370,N,8739.6152,W,209
260324_015353_400,4159.9370,N,8739.6152,W,209
260324_015353_500,4159.9370,N,8739.6152,W,209
260324_015353_600,4159.9370,N,8739.6152,W,209
260324_015353_700,4159.9370,N,8739.6152,W,209
260324_015353_800,4159.9370,N,8739.6152,W,209
260324_015353_900,4159.9370,N,8739.6152,W,209
260324_015354_000,4159.9370,N,8739.6152,W,209
260324_015354_000,4159.9399,N,8739.6113,W,209
260324_015354_100,4159.9399,N,8739.6113,W,209
260324_015354_200,4159.9399,N,8739.6113,W,209
260324_015354_300,4159.9399,N,8739.6113,W,209
260324_015354_400,4159.9399,N,8739.6113,W,209
260324_015354_500,4159.9399,N,8739.6113,W,209
260324_015354_600,4159.9399,N,8739.6113,W,209
260324_015354_700,4159.9399,N,8739.6113,W,209
260324_015354_800,4159.9399,N,8739.6113,W,209
260324_015355_000,4159.9409,N,8739.6113,W,209
260324_015355_100,4159.9409,N,8739.6113,W,209
260324_015355_200,4159.9409,N,8739.6113,W,209
260324_015355_300,4159.9409,N,8739.6113,W,209
260324_015355_400,4159.9409,N,8739.6113,W,209
260324_015355_500,4159.9409,N,8739.6113,W,209
260324_015355_600,4159.9409,N,8739.6113,W,209
260324_015355_700,4159.9409,N,8739.6113,W,209
260324_015355_800,4159.9409,N,8739.6113,W,209
260324_015355_900,4159.9409,N,8739.6113,W,209
260324_015356_000,4159.9419,N,8739.6104,W,209
260324_015356_100,4159.9419,N,8739.6104,W,209
260324_015356_200,4159.9419,N,8739.6104,W,209
260324_015356_300,4159.9419,N,8739.6104,W,209
260324_015356_400,4159.9419,N,8739.6104,W,209
260324_015356_500,4159.9419,N,8739.6104,W,209
260324_015356_600,4159.9419,N,8739.6104,W,209
260324_015356_700,4159.9419,N,8739.6104,W,209
260324_015356_800,4159.9419,N,8739.6104,W,209
260324_015356_900,4159.9419,N,8739.6104,W,209
260324_015357_000,4159.9429,N,8739.6094,W,209
260324_015357_100,4159.9429,N,8739.6094,W,209
260324_015357_200,4159.9429,N,8739.6094,W,209
260324_015357_300,4159.9429,N,8739.6094,W,209
260324_015357_400,4159.9429,N,8739.6094,W,209
260324_015357_500,4159.9429,N,8739.6094,W,209
260324_015357_600,4159.9429,N,8739.6094,W,209
260324_015357_700,4159.9429,N,8739.6094,W,209
260324_015357_800,4159.9429,N,8739.6094,W,209
260324_015357_900,4159.9429,N,8739.6094,W,209
260324_015358_000,4159.9434,N,8739.6094,W,209
260324_015358_100,4159.9434,N,8739.6094,W,209
260324_015358_200,4159.9434,N,8739.6094,W,209
260324_015358_300,4159.9434,N,8739.6094,W,209
260324_015358_400,4159.9434,N,8739.6094,W,209
260324_015358_500,4159.9434,N,8739.6094,W,209
260324_015358_600,4159.9434,N,8739.6094,W,209
260324_015358_700,4159.9434,N,8739.6094,W,209
260324_015358_800,4159.9434,N,8739.6094,W,209
260324_015358_900,4159.9434,N,8739.6094,W,209
260324_015359_000,4159.9434,N,8739.6094,W,209
260324_015359_100,4159.9434,N,8739.6094,W,209
260324_015359_200,4159.9434,N,8739.6094,W,209
260324_015359_300,4159.9434,N,8739.6094,W,209
260324_015359_400,4159.9434,N,8739.6094,W,209
260324_015359_500,4159.9434,N,8739.6094,W,209
260324_015359_600,4159.9434,N,8739.6094,W,209
260324_015359_700,4159.9434,N,8739.6094,W,209
260324_015359_800,4159.9434,N,8739.6094,W,209
260324_015359_900,4159.9434,N,8739.6094,W,209
260324_015400_000,4159.9443,N,8739.6094,W,209
260324_015400_100,4159.9443,N,8739.6094,W,209
260324_015400_200,4159.9443,N,8739.6094,W,209
260324_015400_300,4159.9443,N,8739.6094,W,209
260324_015400_400,4159.9443,N,8739.6094,W,209
260324_015400_500,4159.9443,N,8739.6094,W,209
260324_015400_600,4159.9443,N,8739.6094,W,209
260324_015400_700,4159.9443,N,8739.6094,W,209
260324_015400_800,4159.9443,N,8739.6094,W,209
260324_015400_900,4159.9443,N,8739.6094,W,209
260324_015401_000,4159.9443,N,8739.6084,W,209
260324_015401_100,4159.9443,N,8739.6084,W,209
260324_015401_200,4159.9443,N,8739.6084,W,209
260324_015401_300,4159.9443,N,8739.6084,W,209
260324_015401_400,4159.9443,N,8739.6084,W,209
260324_015401_500,4159.9443,N,8739.6084,W,209
260324_015401_600,4159.9443,N,8739.6084,W,209
260324_015401_700,4159.9443,N,8739.6084,W,209
260324_015401_800,4159.9443,N,8739.6084,W,209
260324_015401_900,4159.9443,N,8739.6084,W,209
260324_015402_000,4159.9443,N,8739.6084,W,209
260324_015402_000,4159.9448,N,8739.6084,W,209
260324_015402_100,4159.9448,N,8739.6084,W,209
260324_015402_200,4159.9448,N,8739.6084,W,209
260324_015402_300,4159.9448,N,8739.6084,W,209
260324_015402_400,4159.9448,N,8739.6084,W,209
260324_015402_500,4159.9448,N,8739.6084,W,209
260324_015402_600,4159.9448,N,8739.6084,W,209
260324_015402_700,4159.9448,N,8739.6084,W,209
260324_015402_800,4159.9448,N,8739.6084,W,209
260324_015403_000,4159.9443,N,8739.6084,W,209
260324_015403_100,4159.9443,N,8739.6084,W,209
260324_015403_200,4159.9443,N,8739.6084,W,209
260324_015403_300,4159.9443,N,8739.6084,W,209
260324_015403_400,4159.9443,N,8739.6084,W,209
260324_015403_500,4159.9443,N,8739.6084,W,209
260324_015403_600,4159.9443,N,8739.6084,W,209
260324_015403_700,4159.9443,N,8739.6084,W,209
260324_015403_800,4159.9443,N,8739.6084,W,209
260324_015403_900,4159.9443,N,8739.6084,W,209
260324_015404_000,4159.9448,N,8739.6074,W,209
260324_015404_100,4159.9448,N,8739.6074,W,209
260324_015404_200,4159.9448,N,8739.6074,W,209
260324_015404_300,4159.9448,N,8739.6074,W,209
260324_015404_400,4159.9448,N,8739.6074,W,209
260324_015404_500,4159.9448,N,8739.6074,W,209
260324_015404_600,4159.9448,N,8739.6074,W,209
