timecode,lat,lat_dir,lon,lon_dir,sensor
260324_221518_900,4200.1074,N,8739.4443,W,208
260324_221519_000,4200.1045,N,8739.4434,W,208
260324_221519_100,4200.1045,N,8739.4434,W,208
260324_221519_200,4200.1045,N,8739.4434,W,208
260324_221519_300,4200.1045,N,8739.4434,W,208
260324_221519_400,4200.1045,N,8739.4434,W,208
260324_221519_500,4200.1045,N,8739.4434,W,208
260324_221519_600,4200.1045,N,8739.4434,W,208
260324_221519_700,4200.1045,N,8739.4434,W,208
260324_221519_800,4200.1045,N,8739.4434,W,207
260324_221519_900,4200.1045,N,8739.4434,W,208
260324_221520_000,4200.1035,N,8739.4434,W,208
260324_221520_100,4200.1035,N,8739.4434,W,208
260324_221520_200,4200.1035,N,8739.4434,W,208
260324_221520_300,4200.1035,N,8739.4434,W,208
260324_221520_400,4200.1035,N,8739.4434,W,208
260324_221520_500,4200.1035,N,8739.4434,W,208
260324_221520_600,4200.1035,N,8739.4434,W,207
260324_221520_700,4200.1035,N,8739.4434,W,208
260324_221520_800,4200.1035,N,8739.4434,W,207
260324_221520_900,4200.1035,N,8739.4434,W,208
260324_221521_000,4200.1011,N,8739.4424,W,208
260324_221521_100,4200.1011,N,8739.4424,W,207
260324_221521_200,4200.1011,N,8739.4424,W,208
260324_221521_300,4200.1011,N,8739.4424,W,207
260324_221521_400,4200.1011,N,8739.4424,W,207
260324_221521_500,4200.1011,N,8739.4424,W,207
260324_221521_600,4200.1011,N,8739.4424,W,207
260324_221521_700,4200.1011,N,8739.4424,W,208
260324_221521_800,4200.1011,N,8739.4424,W,207
260324_221521_900,4200.1011,N,8739.4424,W,207
260324_221522_000,4200.1011,N,8739.4424,W,207
260324_221522_000,4200.1016,N,8739.4414,W,207
260324_221522_100,4200.1016,N,8739.4414,W,207
260324_221522_200,4200.1016,N,8739.4414,W,208
260324_221522_300,4200.1016,N,8739.4414,W,207
260324_221522_400,4200.1016,N,8739.4414,W,207
260324_221522_500,4200.1016,N,8739.4414,W,207
260324_221522_600,4200.1016,N,8739.4414,W,207
260324_221522_700,4200.1016,N,8739.4414,W,207
